Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
0	1519642	469254	465201	446585	139942	0	0.0	N/A
1	471516	138838	142478	143279	47246	471516	1.0	1.0
2	101149	28220	29939	31502	11557	61834	0.6113159793967315	0.8056579896983658
3	22245	5853	6202	7170	3039	11766	0.5289278489548213	0.8292799880122554
4	6259	1506	1494	2227	1038	3563	0.5692602652180859	0.8586435532832721
5	2215	474	466	794	484	1310	0.5914221218961625	0.8876749435665793
6	1036	221	180	417	220	658	0.6351351351351351	0.9084620334620356
7	679	146	114	252	167	455	0.6701030927835051	0.9303597727750873
8	534	114	102	220	99	382	0.7153558052434457	0.9456928838951311
9	321	67	56	131	68	201	0.6261682242990654	0.9297334717895466
10	288	58	36	93	101	221	0.7673611111111112	0.9586805555555564
11	229	46	33	113	37	172	0.7510917030567685	0.9618896387455333
12	331	52	42	216	21	281	0.8489425981873112	0.9778449144008059
13	164	25	19	104	16	88	0.5365853658536586	0.9554409005628516
14	108	24	10	53	21	77	0.7129629629629629	0.9649470899470901
15	157	18	15	64	60	124	0.7898089171974523	0.9791932059447984
16	124	19	9	54	42	81	0.6532258064516129	0.96875
17	158	33	27	69	29	134	0.8481012658227848	0.9884586746090834
18	187	44	30	96	17	153	0.8181818181818182	0.986631016042781
19	193	31	26	110	26	144	0.7461139896373057	0.9839105535860373
20	291	44	34	175	38	241	0.8281786941580757	0.9895189003436414
21	324	50	26	196	52	242	0.7469135802469136	0.9853027630805415
22	367	73	48	230	16	296	0.8065395095367848	0.9903393609115675
23	304	52	32	179	41	226	0.743421052631579	0.9856979405034331
24	327	59	30	181	57	241	0.7370030581039755	0.9822884811416921
25	405	70	56	223	56	313	0.7728395061728395	0.9876543209876537
26	404	62	53	225	65	307	0.7599009900990099	0.9865765422696107
27	392	64	52	225	52	290	0.7397959183673469	0.9848828420257008
28	515	88	74	301	52	408	0.7922330097087379	0.9907073509015267
29	490	90	56	298	46	361	0.736734693877551	0.9881773399014765
30	533	106	75	294	58	416	0.7804878048780488	0.9908692933083162
