Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
0	569008	184114	175397	173698	37590	0	0.0	N/A
1	402014	123128	124920	124334	30896	402014	1.0	1.0
2	184559	53664	57393	57597	16482	103089	0.5585693463878759	0.779284673193938
3	73908	20557	22801	23163	7591	31648	0.4282080424311306	0.7897927152672656
4	30191	8167	9043	9439	3632	11850	0.39250107647974564	0.7924298632042662
5	13171	3500	3704	4118	1895	5212	0.39571786500645356	0.8146382203325655
6	6373	1748	1725	1952	959	2642	0.4145614310371881	0.8360792928500412
7	3355	857	898	1091	521	1392	0.41490312965722803	0.8526293378752337
8	1950	518	500	601	337	864	0.4430769230769231	0.8685897435897436
9	1124	290	279	343	215	512	0.4555160142348754	0.8843416370106822
10	768	227	180	223	143	341	0.4440104166666667	0.8824218749999978
11	522	149	116	148	112	217	0.4157088122605364	0.8810518982932801
12	380	106	103	91	81	179	0.4710526315789474	0.901096491228071
13	251	49	67	66	70	121	0.4820717131474104	0.9098988660741651
14	206	46	50	71	40	86	0.4174757281553398	0.9022191400832177
15	157	36	44	49	28	70	0.445859872611465	0.9214437367303614
16	138	37	37	38	27	60	0.43478260869565216	0.9148550724637681
17	95	22	22	26	25	40	0.42105263157894735	0.8904024767801852
18	83	28	17	13	26	40	0.4819277108433735	0.9236947791164654
19	52	12	10	17	13	26	0.5	0.9149797570850199
20	36	10	5	12	9	18	0.5	0.911111111111111
21	33	8	13	8	4	14	0.42424242424242425	0.9191919191919193
22	34	9	10	8	7	13	0.38235294117647056	0.9411764705882352
23	38	12	7	7	12	19	0.5	0.9004576659038904
24	17	3	3	5	6	6	0.35294117647058826	0.916666666666667
25	18	5	3	4	6	8	0.4444444444444444	0.9222222222222223
26	21	5	7	5	4	6	0.2857142857142857	0.9102564102564101
27	21	1	4	6	10	11	0.5238095238095238	0.9611992945326281
28	19	7	6	5	1	9	0.47368421052631576	0.9417293233082709
29	15	5	2	4	4	9	0.6	0.9517241379310345
30	13	4	3	6	0	8	0.6153846153846154	0.9256410256410257
31	12	1	1	7	3	5	0.4166666666666667	0.9650537634408601
32	13	3	2	6	2	3	0.23076923076923078	0.90625
33	7	1	0	3	3	2	0.2857142857142857	0.9696969696969697
34	7	2	2	1	2	2	0.2857142857142857	0.8193277310924371
35	4	1	2	0	1	2	0.5	0.8857142857142857
36	8	0	2	3	3	6	0.75	0.9930555555555556
37	0	0	0	0	0	0	N/A	N/A
38	1	0	0	0	1	1	1.0	1.0
39	3	0	1	0	2	1	0.3333333333333333	0.9487179487179486
40	3	1	0	1	1	1	0.3333333333333333	0.8833333333333333
