Number of mutations	Number of positions with this many mutations	Number of CP 1 positions with this many mutations	Number of CP 2 positions with this many mutations	Number of CP 3 positions with this many mutations	Number of non-coding positions with this many mutations	Number of uni-mutational positions with this many mutations	Fraction of positions which are uni-mutational	Average uni-mutational fraction of positions with this many mutations
0	1572366	437320	428947	438797	272684	0	0.0	N/A
1	803368	217858	223863	216074	148327	803368	1.0	1.0
2	277782	73829	75941	73204	55802	161673	0.5820139533879085	0.7910069766939543
3	90194	23213	23772	23390	20129	42106	0.46683814887908287	0.8042885336051613
4	31422	7709	7844	8058	7931	14374	0.45745019413150023	0.8156307682515435
5	12948	3155	3043	3177	3638	5933	0.45821748532591905	0.8389094840902142
6	6239	1546	1381	1533	1824	2998	0.4805257252764866	0.8608484265640791
7	3479	870	740	829	1066	1710	0.4915205518827249	0.8760727631092566
8	2041	461	471	512	629	1064	0.5213130818226359	0.8964355707986281
9	1445	345	280	374	464	768	0.5314878892733564	0.9034217608612158
10	983	224	211	272	284	464	0.47202441505595116	0.9048830111902286
11	692	183	153	171	195	361	0.5216763005780347	0.9214398318444595
12	499	133	100	129	145	266	0.533066132264529	0.9203406813627268
13	405	97	92	113	111	200	0.49382716049382713	0.9238366571699902
14	340	83	67	116	82	184	0.5411764705882353	0.9310924369747892
15	281	77	58	90	64	145	0.5160142348754448	0.9269276393831561
16	187	34	51	49	55	83	0.44385026737967914	0.9281417112299465
17	216	56	39	55	70	103	0.47685185185185186	0.9226579520697157
18	163	41	34	52	36	93	0.5705521472392638	0.9447852760736193
19	219	39	39	103	44	124	0.5662100456621004	0.9516943042537844
20	189	36	29	103	24	87	0.4603174603174603	0.9462962962962961
21	113	27	17	50	20	47	0.415929203539823	0.9287821323219538
22	84	22	14	29	20	37	0.44047619047619047	0.9334415584415583
23	55	15	11	21	12	21	0.38181818181818183	0.9177865612648223
24	57	15	13	19	12	27	0.47368421052631576	0.9334795321637429
25	38	11	8	8	13	16	0.42105263157894735	0.9536842105263162
26	24	5	5	10	6	11	0.4583333333333333	0.9326923076923078
27	35	13	12	8	3	20	0.5714285714285714	0.9428571428571428
28	24	7	7	4	6	7	0.2916666666666667	0.9270833333333334
